375ORIFICE,TIME,SCALE(LB),TRUE(LB),TRUE(BERTS),TEMPERATURE,RANKINE
1,30.11,182,14.6,0.087,72.9,532.57
2,30.22,182,14.6,0.087,73.9,533.57
3,30.18,182.4,15,0.090,73.3,532.97
4,30.18,182.6,15.2,0.091,73.1,532.77
5,30.23,182.4,15,0.090,72.4,532.07
000ORIFICE,,,,,,
1,30.1,192,24.6,0.147,72.2,531.87
2,30.01,191,23.6,0.141,71.9,531.57
3,29.96,191.8,24.4,0.146,72.2,531.87
4,29.99,191.6,24.2,0.145,71.9,531.57
5,29.97,191.2,23.8,0.142,71.9,531.57
125ORIFICE,,,,,,
1,59.99,169,1.6,0.010,71.4,531.07
2,60.1,169.4,2,0.012,71.2,530.87
3,59.92,169.4,2,0.012,71.2,530.87
4,60.05,169,1.6,0.010,71,530.67
5,60.12,169,1.6,0.010,71.1,530.77